source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1.14953E+18,120.2022988,0.279508636,85.27837099,0.339055982,0.282925913,0.372106283,19.713163,0.94789886,,,NOT_AVAILABLE,,
1.14952E+18,123.0276845,0.616667365,85.26409698,1.012661932,-0.198884532,0.828989616,20.760445,0.69122124,,,NOT_AVAILABLE,,
1.14953E+18,119.9945258,0.196270448,85.10519701,0.240699461,1.02398629,0.265027348,19.421562,1.8142529,,,NOT_AVAILABLE,,
1.14949E+18,120.3216754,0.54433739,85.02949202,0.655111933,0.866615143,0.745343639,20.563915,1.1850605,,,NOT_AVAILABLE,,
1.14947E+18,124.4932317,0.366303937,85.20073182,0.45449949,0.049045906,0.422891021,19.769844,1.9849701,,,NOT_AVAILABLE,,
1.14951E+18,118.456876,0.037505553,85.17458083,0.051290862,3.800668871,0.051462418,16.404293,2.1774082,,,NOT_AVAILABLE,3759.11,0.113
1.14945E+18,127.2287731,0.342538395,85.00734066,0.514967023,0.025855379,0.43326334,20.083174,0.7041435,,,NOT_AVAILABLE,,
1.14951E+18,122.6107871,0.02007311,85.01461966,0.021545166,1.112084198,0.021498084,12.765632,0.7379408,-46.01013226,6.340956428,NOT_AVAILABLE,6231.49,
1.14952E+18,121.9888412,0.421054638,85.29209324,0.504698563,0.692563833,0.514714601,20.416716,2.2252445,,,NOT_AVAILABLE,,
1.14953E+18,118.3116077,0.166984372,85.25182586,0.233061953,1.22212645,0.250113007,18.99074,2.2821712,,,NOT_AVAILABLE,,
1.14953E+18,122.3064161,0.476125813,85.3870435,0.576406326,-7.95E-04,0.594114533,20.428429,1.6975594,,,NOT_AVAILABLE,,
1.14951E+18,117.343776,0.797485151,85.12852639,1.246791551,3.776283657,1.308773358,20.741774,1.8873959,,,NOT_AVAILABLE,,
1.1495E+18,118.078884,0.580874203,85.02007584,0.652659618,1.11501761,0.74460016,20.553349,1.739233,,,NOT_AVAILABLE,,
1.14952E+18,122.445224,1.007010388,85.18766435,1.651087749,-0.118632599,1.205910242,20.88561,0.99502754,,,NOT_AVAILABLE,,
1.14952E+18,123.6895813,0.361129952,85.14023316,0.469851743,1.130027511,0.438787083,20.168383,2.1164455,,,NOT_AVAILABLE,,
1.14947E+18,124.819877,1.728549752,85.12053955,2.245274698,,,20.987888,1.4046955,,,NOT_AVAILABLE,,
1.1495E+18,118.8938956,0.051094397,85.05774244,0.07260756,0.59998949,0.074569317,17.001097,1.1713524,,,NOT_AVAILABLE,4918.15,
1.14952E+18,123.0670761,0.268594492,85.25831219,0.354335137,0.892035262,0.334849454,19.776714,1.6813278,,,NOT_AVAILABLE,,
1.14954E+18,120.715125,0.536403004,85.2964546,0.689248321,3.903171297,0.669688243,20.581703,2.6913948,,,NOT_AVAILABLE,,
1.14947E+18,124.3823108,0.692596078,85.08834713,0.94325076,0.978356983,0.832426151,20.737541,1.12747,,,NOT_AVAILABLE,,
1.14947E+18,125.158659,2.368719707,85.04349714,2.289349351,,,20.920475,1.2719364,,,NOT_AVAILABLE,,
1.14953E+18,118.5941572,0.099790205,85.25111828,0.1353392,0.5255775,0.141269544,18.27941,1.7523232,,,NOT_AVAILABLE,,
1.14954E+18,120.5848556,0.552552013,85.45434388,0.659628989,-0.177029778,0.743540426,20.562963,2.012148,,,NOT_AVAILABLE,,
1.14947E+18,125.3187884,1.023513208,85.0180708,1.225110421,1.029703856,0.79321642,20.678572,1.5888138,,,NOT_AVAILABLE,,
1.14952E+18,123.5805002,0.214287627,85.16277949,0.264749422,1.357721473,0.255547016,19.359041,2.0365906,,,NOT_AVAILABLE,,
1.14954E+18,120.107751,0.317052707,85.36368987,0.37672105,1.021787399,0.418083007,16.76213,0.99614525,,,NOT_AVAILABLE,5261.27,
1.14954E+18,121.0065843,0.03139556,85.52327865,0.034230122,1.037776842,0.038850252,15.971765,1.2526131,,,NOT_AVAILABLE,5109.25,
1.1495E+18,118.7164723,0.431211992,85.00855379,0.523602069,0.481901299,0.614377528,20.206726,1.5785751,,,NOT_AVAILABLE,,
1.14953E+18,120.0018894,0.113828382,85.22975223,0.139476974,0.552854832,0.149576947,18.592978,1.5105534,,,NOT_AVAILABLE,,
1.14952E+18,123.4574535,0.092093635,85.17095123,0.113934124,4.028898826,0.109610865,17.950293,2.5224762,,,NOT_AVAILABLE,,
1.14947E+18,124.8009592,0.192268251,85.22094228,0.245391298,0.807086635,0.224830022,18.820112,1.7409763,,,NOT_AVAILABLE,,
1.14953E+18,117.8951697,0.065127362,85.2475722,0.090993191,0.241464877,0.09102779,17.175514,0.89149284,,,NOT_AVAILABLE,,
1.14953E+18,117.9589904,0.389790929,85.24302872,0.548879772,2.251853126,0.596321849,20.309708,2.1246147,,,NOT_AVAILABLE,,
1.14951E+18,117.0808802,0.605457924,85.09179875,0.773987182,-0.050203515,0.839387718,20.572062,2.019846,,,NOT_AVAILABLE,,
